Date,Temp
202208,21
202209,17
202210,12
202211,7
202212,4
202301,4
202302,6
202303,9
202304,13
202305,16
202306,20
202307,22
202308,21
202309,17
202310,13
202311,7
202312,4
202401,4.7
202402,7.4
202403,9.6
202404,11.5
202405,15.2
202406,19.5
202407,22.1
202408,23.1
202409,16.2
202410,14
202411,7.9
202412,3.4
202501,4.9
202502,5.9
202503,9
202504,13.1
202505,16.2
202506,23.3
202507,22.5
202508,23.5
